claim_id,claim_date,claim_year,claim_month,insurer,state,vehicle_type,vehicle_age_years,policy_age_months,incident_type,garage_type,claim_amount_inr,claims_last_12m,days_to_report,surveyor_flag,india_cpi,india_gdp_growth,fraud_flag,anomaly_score,anomaly_flag,risk_level,ai_insight,ai_analysis_requested
CLM-000012,04-01-2015,2015,1,New India Assurance,Bihar,Private Car,5,14,Collision,Network Garage,221714.26,0,0,1,4.91,8,0,0.1617,0,Low Risk,AI analysis not requested.,False
CLM-000013,05-01-2015,2015,1,Tata AIG,Andhra Pradesh,Two-Wheeler,2,25,Collision,Cash Settlement,38327.52,0,2,0,4.91,8,0,0.1576,0,Low Risk,AI analysis not requested.,False
CLM-000014,07-01-2015,2015,1,Bajaj Allianz,Maharashtra,Private Car,3,47,Collision,Network Garage,169247.97,1,18,1,4.91,8,0,0.1249,0,Low Risk,AI analysis not requested.,False
CLM-000015,07-01-2015,2015,1,Oriental Insurance,Rajasthan,Private Car,0,11,Fire,Non-Network Garage,102636.34,0,6,1,4.91,8,0,0.1582,0,Low Risk,AI analysis not requested.,False
CLM-000016,07-01-2015,2015,1,Oriental Insurance,Maharashtra,Private Car,1,15,Collision,Cash Settlement,5000,1,4,0,4.91,8,0,0.1234,0,Low Risk,AI analysis not requested.,False
CLM-000017,08-01-2015,2015,1,SBI General,Telangana,Two-Wheeler,0,6,Natural Disaster,Non-Network Garage,140790.58,1,4,1,4.91,8,0,0.1595,0,Low Risk,AI analysis not requested.,False
CLM-000018,09-01-2015,2015,1,HDFC ERGO,Tamil Nadu,Two-Wheeler,4,24,Vandalism,Network Garage,80051.08,1,14,1,4.91,8,0,0.1446,0,Low Risk,AI analysis not requested.,False
CLM-000019,09-01-2015,2015,1,National Insurance,Haryana,Two-Wheeler,0,28,Collision,Non-Network Garage,62087.72,0,0,0,4.91,8,0,0.1711,0,Low Risk,AI analysis not requested.,False
CLM-000020,11-01-2015,2015,1,New India Assurance,Odisha,Private Car,0,48,Collision,Non-Network Garage,22143.01,0,0,0,4.91,8,0,0.1488,0,Low Risk,AI analysis not requested.,False
CLM-000021,11-01-2015,2015,1,ICICI Lombard,Delhi,Private Car,12,34,Collision,Network Garage,83025.38,0,10,1,4.91,8,0,0.0549,0,Low Risk,AI analysis not requested.,False
CLM-000022,12-01-2015,2015,1,SBI General,Uttar Pradesh,Two-Wheeler,1,5,Collision,Non-Network Garage,64308.98,0,8,0,4.91,8,0,0.1572,0,Low Risk,AI analysis not requested.,False
CLM-000023,12-01-2015,2015,1,National Insurance,Uttar Pradesh,Private Car,4,23,Collision,Non-Network Garage,6235.84,0,8,0,4.91,8,0,0.13,0,Low Risk,AI analysis not requested.,False
CLM-000024,13-01-2015,2015,1,SBI General,Jharkhand,Private Car,8,42,Theft,Network Garage,210153.2,1,1,1,4.91,8,0,0.1351,0,Low Risk,AI analysis not requested.,False
CLM-000025,13-01-2015,2015,1,New India Assurance,Punjab,Private Car,3,21,Collision,Network Garage,88346.43,0,4,1,4.91,8,0,0.1666,0,Low Risk,AI analysis not requested.,False
CLM-000026,13-01-2015,2015,1,HDFC ERGO,Maharashtra,Private Car,6,35,Fire,Non-Network Garage,23100.17,0,13,0,4.91,8,0,0.1538,0,Low Risk,AI analysis not requested.,False
CLM-000027,13-01-2015,2015,1,National Insurance,Rajasthan,Private Car,1,20,Theft,Network Garage,11586.9,1,2,0,4.91,8,0,0.1376,0,Low Risk,AI analysis not requested.,False
CLM-000028,14-01-2015,2015,1,Bajaj Allianz,Tamil Nadu,Private Car,5,50,Collision,Non-Network Garage,36924.83,0,5,0,4.91,8,0,0.1252,0,Low Risk,AI analysis not requested.,False
CLM-000029,14-01-2015,2015,1,Tata AIG,Haryana,Private Car,6,36,Natural Disaster,Network Garage,72039.68,0,13,0,4.91,8,0,0.1491,0,Low Risk,AI analysis not requested.,False
CLM-000030,15-01-2015,2015,1,ICICI Lombard,Telangana,Private Car,8,39,Collision,Network Garage,77759.11,1,7,1,4.91,8,0,0.152,0,Low Risk,AI analysis not requested.,False
CLM-000031,15-01-2015,2015,1,SBI General,Bihar,Two-Wheeler,1,15,Collision,Cash Settlement,142105.99,0,10,1,4.91,8,0,0.1573,0,Low Risk,AI analysis not requested.,False
CLM-000032,15-01-2015,2015,1,Tata AIG,Telangana,Two-Wheeler,5,37,Collision,Cash Settlement,48438.49,0,16,0,4.91,8,0,0.1408,0,Low Risk,AI analysis not requested.,False
CLM-000033,16-01-2015,2015,1,Tata AIG,Uttar Pradesh,Two-Wheeler,1,8,Collision,Non-Network Garage,58990.25,0,0,0,4.91,8,0,0.1063,0,Low Risk,AI analysis not requested.,False
CLM-000034,16-01-2015,2015,1,ICICI Lombard,Telangana,Two-Wheeler,2,6,Theft,Network Garage,71507.48,0,6,0,4.91,8,0,0.1448,0,Low Risk,AI analysis not requested.,False
CLM-000035,16-01-2015,2015,1,New India Assurance,Assam,Two-Wheeler,5,27,Collision,Non-Network Garage,81375.09,0,7,1,4.91,8,0,0.1352,0,Low Risk,AI analysis not requested.,False
CLM-000036,16-01-2015,2015,1,SBI General,Tamil Nadu,Commercial Vehicle,13,1,Collision,Cash Settlement,95341.4,0,5,1,4.91,8,1,0.1548,0,Low Risk,AI analysis not requested.,False
CLM-000037,17-01-2015,2015,1,Reliance General,Maharashtra,Two-Wheeler,3,11,Fire,Network Garage,132198.11,0,10,1,4.91,8,0,0.153,0,Low Risk,AI analysis not requested.,False
CLM-000038,17-01-2015,2015,1,National Insurance,Telangana,Two-Wheeler,0,39,Theft,Network Garage,95016.32,1,2,1,4.91,8,0,0.1552,0,Low Risk,AI analysis not requested.,False
CLM-000039,17-01-2015,2015,1,Reliance General,Uttar Pradesh,Two-Wheeler,5,43,Fire,Cash Settlement,77543.59,0,2,1,4.91,8,0,0.1486,0,Low Risk,AI analysis not requested.,False
CLM-000040,18-01-2015,2015,1,National Insurance,Gujarat,Private Car,1,37,Collision,Cash Settlement,1060513.51,0,0,1,4.91,8,1,0.129,0,Low Risk,AI analysis not requested.,False
CLM-000041,18-01-2015,2015,1,Reliance General,Andhra Pradesh,Private Car,2,11,Collision,Non-Network Garage,47081.1,1,3,0,4.91,8,0,0.1539,0,Low Risk,AI analysis not requested.,False
CLM-000042,18-01-2015,2015,1,Reliance General,Karnataka,Two-Wheeler,3,8,Fire,Non-Network Garage,7481.66,0,4,0,4.91,8,0,0.1611,0,Low Risk,AI analysis not requested.,False
CLM-000043,19-01-2015,2015,1,SBI General,Gujarat,Private Car,1,9,Theft,Cash Settlement,62943.41,1,7,0,4.91,8,0,0.1531,0,Low Risk,AI analysis not requested.,False
CLM-000044,20-01-2015,2015,1,SBI General,Madhya Pradesh,Private Car,0,48,Collision,Network Garage,332968.22,0,0,1,4.91,8,0,0.1428,0,Low Risk,AI analysis not requested.,False
CLM-000045,20-01-2015,2015,1,New India Assurance,Haryana,Commercial Vehicle,10,32,Collision,Non-Network Garage,83606.31,0,1,1,4.91,8,0,0.1359,0,Low Risk,AI analysis not requested.,False
CLM-000046,21-01-2015,2015,1,United India Insurance,Punjab,Two-Wheeler,9,12,Collision,Non-Network Garage,18175.51,0,6,0,4.91,8,0,0.1279,0,Low Risk,AI analysis not requested.,False
CLM-000047,22-01-2015,2015,1,Tata AIG,Haryana,Private Car,4,51,Vandalism,Non-Network Garage,79366.02,0,0,1,4.91,8,0,0.1368,0,Low Risk,AI analysis not requested.,False
CLM-000048,22-01-2015,2015,1,SBI General,Maharashtra,Private Car,0,50,Fire,Network Garage,74169.84,0,20,0,4.91,8,0,0.1194,0,Low Risk,AI analysis not requested.,False
CLM-000049,22-01-2015,2015,1,ICICI Lombard,Uttar Pradesh,Two-Wheeler,5,41,Theft,Non-Network Garage,140483.08,0,1,1,4.91,8,0,0.1523,0,Low Risk,AI analysis not requested.,False
CLM-000050,22-01-2015,2015,1,Oriental Insurance,Gujarat,Private Car,3,17,Natural Disaster,Network Garage,60055,1,7,0,4.91,8,0,0.0833,0,Low Risk,AI analysis not requested.,False
CLM-000051,23-01-2015,2015,1,United India Insurance,Maharashtra,Private Car,2,58,Theft,Network Garage,245934.95,0,4,1,4.91,8,1,0.0902,0,Low Risk,AI analysis not requested.,False
CLM-000052,23-01-2015,2015,1,New India Assurance,Bihar,Two-Wheeler,7,12,Collision,Network Garage,212793.76,0,8,1,4.91,8,0,0.0559,0,Low Risk,AI analysis not requested.,False
CLM-000053,23-01-2015,2015,1,SBI General,Karnataka,Commercial Vehicle,1,23,Collision,Network Garage,144303.67,0,2,1,4.91,8,0,0.1466,0,Low Risk,AI analysis not requested.,False
CLM-000054,23-01-2015,2015,1,Tata AIG,Gujarat,Commercial Vehicle,2,24,Theft,Non-Network Garage,115660.71,0,27,1,4.91,8,0,0.1143,0,Low Risk,AI analysis not requested.,False
CLM-000055,23-01-2015,2015,1,Tata AIG,Tamil Nadu,Two-Wheeler,0,1,Fire,Non-Network Garage,96564.38,1,0,1,4.91,8,0,0.1537,0,Low Risk,AI analysis not requested.,False
CLM-000056,24-01-2015,2015,1,Reliance General,Maharashtra,Private Car,3,51,Theft,Non-Network Garage,67696.51,0,2,0,4.91,8,0,0.1247,0,Low Risk,AI analysis not requested.,False
CLM-000057,24-01-2015,2015,1,United India Insurance,Bihar,Private Car,13,7,Collision,Cash Settlement,105911.99,0,0,1,4.91,8,0,0.1429,0,Low Risk,AI analysis not requested.,False
CLM-000058,25-01-2015,2015,1,New India Assurance,Andhra Pradesh,Private Car,6,24,Collision,Non-Network Garage,181296.66,0,15,1,4.91,8,0,0.1569,0,Low Risk,AI analysis not requested.,False
CLM-000059,25-01-2015,2015,1,New India Assurance,West Bengal,Private Car,2,11,Collision,Network Garage,52141.22,0,5,0,4.91,8,0,0.1552,0,Low Risk,AI analysis not requested.,False
CLM-000060,28-01-2015,2015,1,Tata AIG,Rajasthan,Two-Wheeler,5,37,Collision,Cash Settlement,83093.89,0,1,1,4.91,8,0,0.1636,0,Low Risk,AI analysis not requested.,False
CLM-000061,28-01-2015,2015,1,SBI General,Delhi,Commercial Vehicle,0,59,Theft,Network Garage,448450.82,1,2,1,4.91,8,1,0.1299,0,Low Risk,AI analysis not requested.,False
CLM-000062,29-01-2015,2015,1,Oriental Insurance,Rajasthan,Private Car,2,6,Collision,Cash Settlement,131654.97,1,14,1,4.91,8,0,0.1278,0,Low Risk,AI analysis not requested.,False
CLM-000063,29-01-2015,2015,1,ICICI Lombard,Maharashtra,Two-Wheeler,5,24,Theft,Network Garage,483397.32,1,1,1,4.91,8,1,0.1587,0,Low Risk,AI analysis not requested.,False
CLM-000064,29-01-2015,2015,1,Bajaj Allianz,Madhya Pradesh,Commercial Vehicle,5,15,Theft,Non-Network Garage,153417.16,1,7,1,4.91,8,0,0.1485,0,Low Risk,AI analysis not requested.,False
CLM-000065,30-01-2015,2015,1,SBI General,Tamil Nadu,Two-Wheeler,5,21,Theft,Cash Settlement,130429.18,0,7,1,4.91,8,0,0.1235,0,Low Risk,AI analysis not requested.,False
CLM-000066,30-01-2015,2015,1,SBI General,Punjab,Two-Wheeler,3,5,Collision,Network Garage,66573.49,0,1,0,4.91,8,0,0.143,0,Low Risk,AI analysis not requested.,False
CLM-000067,31-01-2015,2015,1,Tata AIG,Rajasthan,Private Car,5,53,Theft,Network Garage,299845.19,0,8,1,4.91,8,0,0.1642,0,Low Risk,AI analysis not requested.,False
CLM-000068,31-01-2015,2015,1,Bajaj Allianz,Delhi,Two-Wheeler,0,27,Collision,Non-Network Garage,39782.18,0,14,0,4.91,8,0,0.154,0,Low Risk,AI analysis not requested.,False
CLM-000069,31-01-2015,2015,1,Oriental Insurance,Tamil Nadu,Commercial Vehicle,1,56,Collision,Network Garage,78732.44,1,1,1,4.91,8,0,0.1469,0,Low Risk,AI analysis not requested.,False
CLM-000070,01-02-2015,2015,2,United India Insurance,Maharashtra,Two-Wheeler,3,28,Natural Disaster,Network Garage,108100.65,0,0,1,4.91,8,0,0.1531,0,Low Risk,AI analysis not requested.,False
CLM-000071,01-02-2015,2015,2,New India Assurance,Karnataka,Private Car,1,21,Collision,Network Garage,131057.88,0,1,1,4.91,8,0,0.1454,0,Low Risk,AI analysis not requested.,False
CLM-000072,01-02-2015,2015,2,Oriental Insurance,Tamil Nadu,Private Car,5,53,Collision,Network Garage,11489.09,0,1,0,4.91,8,0,0.1068,0,Low Risk,AI analysis not requested.,False
CLM-000073,02-02-2015,2015,2,Tata AIG,Uttar Pradesh,Private Car,4,15,Collision,Cash Settlement,145698.98,0,0,1,4.91,8,0,0.1309,0,Low Risk,AI analysis not requested.,False
CLM-000074,02-02-2015,2015,2,National Insurance,West Bengal,Two-Wheeler,6,53,Natural Disaster,Network Garage,14144.43,0,0,0,4.91,8,0,0.1213,0,Low Risk,AI analysis not requested.,False
CLM-000075,02-02-2015,2015,2,Tata AIG,Maharashtra,Commercial Vehicle,0,18,Collision,Network Garage,74171.74,0,1,0,4.91,8,0,0.0977,0,Low Risk,AI analysis not requested.,False
CLM-000076,03-02-2015,2015,2,Bajaj Allianz,Tamil Nadu,Two-Wheeler,0,16,Theft,Network Garage,292051.65,0,4,1,4.91,8,1,0.1341,0,Low Risk,AI analysis not requested.,False
CLM-000077,03-02-2015,2015,2,Oriental Insurance,Tamil Nadu,Private Car,13,5,Collision,Network Garage,49980.48,2,3,0,4.91,8,0,0.0865,0,Low Risk,AI analysis not requested.,False
CLM-000078,04-02-2015,2015,2,New India Assurance,Rajasthan,Private Car,5,53,Collision,Cash Settlement,47300.53,0,7,0,4.91,8,0,0.1313,0,Low Risk,AI analysis not requested.,False
CLM-000079,04-02-2015,2015,2,HDFC ERGO,Maharashtra,Two-Wheeler,8,21,Collision,Cash Settlement,127556.95,1,2,1,4.91,8,0,0.1666,0,Low Risk,AI analysis not requested.,False
CLM-000080,05-02-2015,2015,2,SBI General,Karnataka,Commercial Vehicle,3,56,Collision,Non-Network Garage,36077.16,0,8,0,4.91,8,0,0.1233,0,Low Risk,AI analysis not requested.,False
CLM-000081,05-02-2015,2015,2,National Insurance,Uttar Pradesh,Two-Wheeler,3,13,Collision,Network Garage,211141.47,1,11,1,4.91,8,0,0.1425,0,Low Risk,AI analysis not requested.,False
CLM-000082,07-02-2015,2015,2,New India Assurance,Rajasthan,Commercial Vehicle,7,59,Vandalism,Network Garage,150965.58,0,0,1,4.91,8,0,0.156,0,Low Risk,AI analysis not requested.,False
CLM-000083,07-02-2015,2015,2,ICICI Lombard,Madhya Pradesh,Two-Wheeler,0,16,Collision,Cash Settlement,423822.94,0,3,1,4.91,8,1,0.1516,0,Low Risk,AI analysis not requested.,False
CLM-000084,07-02-2015,2015,2,ICICI Lombard,Karnataka,Private Car,10,3,Natural Disaster,Network Garage,108938.53,0,15,1,4.91,8,0,0.1431,0,Low Risk,AI analysis not requested.,False
CLM-000085,08-02-2015,2015,2,HDFC ERGO,Jharkhand,Two-Wheeler,1,54,Collision,Non-Network Garage,55687.2,0,1,0,4.91,8,0,0.1068,0,Low Risk,AI analysis not requested.,False
CLM-000086,08-02-2015,2015,2,ICICI Lombard,Maharashtra,Two-Wheeler,0,12,Collision,Network Garage,163927.57,0,5,1,4.91,8,0,0.1459,0,Low Risk,AI analysis not requested.,False
CLM-000087,08-02-2015,2015,2,Oriental Insurance,Uttar Pradesh,Private Car,0,46,Collision,Non-Network Garage,93960.89,0,1,1,4.91,8,0,0.0724,0,Low Risk,AI analysis not requested.,False
CLM-000088,09-02-2015,2015,2,Tata AIG,Telangana,Commercial Vehicle,3,20,Theft,Network Garage,168768.39,0,0,1,4.91,8,0,0.1158,0,Low Risk,AI analysis not requested.,False
CLM-000089,09-02-2015,2015,2,Reliance General,West Bengal,Private Car,4,26,Natural Disaster,Non-Network Garage,45134.08,0,7,0,4.91,8,0,0.1586,0,Low Risk,AI analysis not requested.,False
CLM-000090,09-02-2015,2015,2,HDFC ERGO,Punjab,Commercial Vehicle,1,18,Collision,Cash Settlement,83976.83,0,1,1,4.91,8,0,0.1322,0,Low Risk,AI analysis not requested.,False
CLM-000091,09-02-2015,2015,2,HDFC ERGO,Rajasthan,Two-Wheeler,5,13,Collision,Non-Network Garage,34472.73,0,21,0,4.91,8,0,0.0563,0,Low Risk,AI analysis not requested.,False
CLM-000092,10-02-2015,2015,2,Tata AIG,Bihar,Private Car,2,12,Natural Disaster,Cash Settlement,71573.66,0,0,0,4.91,8,0,0.1333,0,Low Risk,AI analysis not requested.,False
CLM-000093,10-02-2015,2015,2,United India Insurance,Odisha,Private Car,0,55,Theft,Network Garage,194832.3,0,0,1,4.91,8,0,0.1046,0,Low Risk,AI analysis not requested.,False
CLM-000094,11-02-2015,2015,2,National Insurance,West Bengal,Private Car,2,50,Collision,Cash Settlement,59884.42,0,6,0,4.91,8,0,0.1543,0,Low Risk,AI analysis not requested.,False
CLM-000095,11-02-2015,2015,2,New India Assurance,Uttar Pradesh,Two-Wheeler,3,42,Natural Disaster,Cash Settlement,290328.41,0,1,1,4.91,8,1,0.1606,0,Low Risk,AI analysis not requested.,False
CLM-000096,11-02-2015,2015,2,Oriental Insurance,Tamil Nadu,Commercial Vehicle,5,39,Theft,Network Garage,75962.8,1,30,1,4.91,8,0,0.1169,0,Low Risk,AI analysis not requested.,False
CLM-000097,11-02-2015,2015,2,New India Assurance,Karnataka,Two-Wheeler,9,16,Collision,Non-Network Garage,38411.13,0,5,0,4.91,8,0,0.1686,0,Low Risk,AI analysis not requested.,False
CLM-000098,12-02-2015,2015,2,SBI General,Tamil Nadu,Commercial Vehicle,0,3,Theft,Network Garage,42278.26,0,18,0,4.91,8,0,0.1619,0,Low Risk,AI analysis not requested.,False
CLM-000099,12-02-2015,2015,2,New India Assurance,Tamil Nadu,Two-Wheeler,0,56,Collision,Cash Settlement,34657.63,0,10,0,4.91,8,0,0.1614,0,Low Risk,AI analysis not requested.,False
CLM-000100,12-02-2015,2015,2,Tata AIG,Madhya Pradesh,Commercial Vehicle,14,51,Collision,Non-Network Garage,148741.9,2,1,1,4.91,8,0,0.1384,0,Low Risk,AI analysis not requested.,False
CLM-000101,12-02-2015,2015,2,Tata AIG,Karnataka,Private Car,0,14,Collision,Cash Settlement,192365.39,0,0,1,4.91,8,0,0.1557,0,Low Risk,AI analysis not requested.,False
CLM-000102,12-02-2015,2015,2,National Insurance,Gujarat,Private Car,3,4,Natural Disaster,Cash Settlement,62262.06,0,5,0,4.91,8,0,0.1562,0,Low Risk,AI analysis not requested.,False
CLM-000103,12-02-2015,2015,2,United India Insurance,Uttar Pradesh,Private Car,3,11,Theft,Network Garage,110472.61,1,3,1,4.91,8,0,0.1411,0,Low Risk,AI analysis not requested.,False
CLM-000104,13-02-2015,2015,2,HDFC ERGO,Delhi,Private Car,7,44,Fire,Network Garage,31338.17,1,1,0,4.91,8,0,0.1382,0,Low Risk,AI analysis not requested.,False
CLM-000105,13-02-2015,2015,2,National Insurance,Gujarat,Two-Wheeler,2,21,Theft,Non-Network Garage,76244.67,0,0,1,4.91,8,1,0.1464,0,Low Risk,AI analysis not requested.,False
CLM-000106,13-02-2015,2015,2,New India Assurance,Rajasthan,Two-Wheeler,1,3,Collision,Network Garage,993081.89,2,2,1,4.91,8,1,0.091,0,Low Risk,AI analysis not requested.,False
CLM-000107,14-02-2015,2015,2,SBI General,Uttar Pradesh,Two-Wheeler,6,55,Theft,Cash Settlement,50381.99,0,2,0,4.91,8,0,0.1245,0,Low Risk,AI analysis not requested.,False
CLM-000108,14-02-2015,2015,2,United India Insurance,Maharashtra,Two-Wheeler,2,19,Vandalism,Network Garage,231934.61,1,0,1,4.91,8,0,0.1457,0,Low Risk,AI analysis not requested.,False
CLM-000109,15-02-2015,2015,2,Reliance General,Tamil Nadu,Commercial Vehicle,2,16,Collision,Non-Network Garage,158238.81,1,2,1,4.91,8,1,0.1348,0,Low Risk,AI analysis not requested.,False
CLM-000110,15-02-2015,2015,2,ICICI Lombard,Karnataka,Private Car,0,20,Collision,Cash Settlement,70427.15,0,2,0,4.91,8,0,0.1577,0,Low Risk,AI analysis not requested.,False
CLM-000111,16-02-2015,2015,2,Oriental Insurance,Rajasthan,Commercial Vehicle,1,3,Theft,Network Garage,92219,0,1,1,4.91,8,0,0.1581,0,Low Risk,AI analysis not requested.,False
CLM-000112,17-02-2015,2015,2,New India Assurance,Uttar Pradesh,Private Car,15,17,Natural Disaster,Network Garage,129605.68,0,7,1,4.91,8,0,0.164,0,Low Risk,AI analysis not requested.,False
CLM-000113,17-02-2015,2015,2,United India Insurance,Rajasthan,Commercial Vehicle,1,39,Theft,Non-Network Garage,57573.72,0,3,0,4.91,8,0,0.163,0,Low Risk,AI analysis not requested.,False
CLM-000114,17-02-2015,2015,2,SBI General,Andhra Pradesh,Commercial Vehicle,3,25,Collision,Cash Settlement,169156.73,0,0,1,4.91,8,0,0.0708,0,Low Risk,AI analysis not requested.,False
CLM-000115,17-02-2015,2015,2,ICICI Lombard,Telangana,Private Car,1,40,Theft,Non-Network Garage,86026.13,0,2,1,4.91,8,0,0.1336,0,Low Risk,AI analysis not requested.,False
CLM-000116,17-02-2015,2015,2,Tata AIG,Punjab,Private Car,0,5,Collision,Network Garage,196564.43,0,10,1,4.91,8,0,0.1614,0,Low Risk,AI analysis not requested.,False
CLM-000117,17-02-2015,2015,2,Tata AIG,Haryana,Two-Wheeler,1,8,Collision,Non-Network Garage,18834.03,0,2,0,4.91,8,0,0.1459,0,Low Risk,AI analysis not requested.,False
CLM-000118,17-02-2015,2015,2,Reliance General,Gujarat,Private Car,5,15,Collision,Non-Network Garage,54736.61,0,2,0,4.91,8,0,0.16,0,Low Risk,AI analysis not requested.,False
CLM-000119,18-02-2015,2015,2,Tata AIG,Bihar,Private Car,5,18,Collision,Network Garage,107527.27,0,0,1,4.91,8,0,0.1473,0,Low Risk,AI analysis not requested.,False
CLM-000120,19-02-2015,2015,2,National Insurance,Maharashtra,Private Car,2,19,Collision,Network Garage,121894.33,0,0,1,4.91,8,0,0.1604,0,Low Risk,AI analysis not requested.,False
CLM-000121,19-02-2015,2015,2,HDFC ERGO,Gujarat,Private Car,10,33,Natural Disaster,Non-Network Garage,60332.4,0,4,0,4.91,8,0,0.137,0,Low Risk,AI analysis not requested.,False
CLM-000122,20-02-2015,2015,2,Bajaj Allianz,Madhya Pradesh,Private Car,3,15,Collision,Network Garage,46839.67,0,2,0,4.91,8,0,0.1532,0,Low Risk,AI analysis not requested.,False
CLM-000123,20-02-2015,2015,2,United India Insurance,Bihar,Commercial Vehicle,9,6,Theft,Cash Settlement,5768.82,1,0,0,4.91,8,0,0.0997,0,Low Risk,AI analysis not requested.,False
CLM-000124,20-02-2015,2015,2,Tata AIG,Andhra Pradesh,Two-Wheeler,4,31,Vandalism,Network Garage,47841.5,0,0,0,4.91,8,0,0.051,0,Low Risk,AI analysis not requested.,False
CLM-000125,21-02-2015,2015,2,SBI General,Delhi,Commercial Vehicle,5,5,Collision,Network Garage,109194.55,0,1,1,4.91,8,0,0.1114,0,Low Risk,AI analysis not requested.,False
CLM-000126,22-02-2015,2015,2,ICICI Lombard,Jharkhand,Two-Wheeler,13,10,Collision,Network Garage,44981.12,0,7,0,4.91,8,0,0.167,0,Low Risk,AI analysis not requested.,False
CLM-000127,23-02-2015,2015,2,United India Insurance,Kerala,Private Car,1,36,Collision,Network Garage,1071476.55,0,11,1,4.91,8,1,0.0623,0,Low Risk,AI analysis not requested.,False
CLM-000128,24-02-2015,2015,2,Bajaj Allianz,Maharashtra,Private Car,4,38,Fire,Network Garage,181386.19,0,6,1,4.91,8,0,0.1324,0,Low Risk,AI analysis not requested.,False
CLM-000129,24-02-2015,2015,2,SBI General,West Bengal,Commercial Vehicle,1,31,Collision,Non-Network Garage,12920.33,0,0,0,4.91,8,0,0.0784,0,Low Risk,AI analysis not requested.,False
CLM-000130,24-02-2015,2015,2,Tata AIG,Delhi,Private Car,6,16,Collision,Network Garage,135375.46,0,0,1,4.91,8,0,0.1382,0,Low Risk,AI analysis not requested.,False
CLM-000131,24-02-2015,2015,2,HDFC ERGO,Tamil Nadu,Private Car,4,29,Collision,Network Garage,66537.92,0,10,0,4.91,8,0,0.1616,0,Low Risk,AI analysis not requested.,False
CLM-000132,24-02-2015,2015,2,National Insurance,Uttar Pradesh,Two-Wheeler,4,36,Natural Disaster,Network Garage,48335.65,0,1,0,4.91,8,0,0.1425,0,Low Risk,AI analysis not requested.,False
CLM-000133,24-02-2015,2015,2,Reliance General,Bihar,Commercial Vehicle,3,34,Collision,Network Garage,26666.64,0,8,0,4.91,8,0,0.1551,0,Low Risk,AI analysis not requested.,False
CLM-000134,25-02-2015,2015,2,ICICI Lombard,Telangana,Two-Wheeler,5,37,Theft,Non-Network Garage,720312.06,0,10,1,4.91,8,1,0.1548,0,Low Risk,AI analysis not requested.,False
CLM-000135,25-02-2015,2015,2,Reliance General,Karnataka,Commercial Vehicle,4,5,Natural Disaster,Network Garage,180700.75,0,2,1,4.91,8,0,0.1502,0,Low Risk,AI analysis not requested.,False
CLM-000136,26-02-2015,2015,2,Tata AIG,Uttar Pradesh,Private Car,0,9,Collision,Cash Settlement,294467.88,0,2,1,4.91,8,0,0.0747,0,Low Risk,AI analysis not requested.,False
